ip_len,ip_hdr_len,ip_flags,ip_ttl,protocol,tcp_src_port,tcp_dst_port,tcp_flags,payload_len,label
65,5,0,128,17,0,0,0,37,0
65,5,0,128,17,0,0,0,37,0
65,5,0,128,17,0,0,0,37,0
277,5,2,64,17,0,0,0,249,0
273,5,2,64,17,0,0,0,245,0
249,5,2,64,17,0,0,0,221,0
40,5,2,113,6,443,54747,20,0,0
41,5,2,128,6,57840,443,16,1,0
40,5,2,46,6,443,57840,16,0,0
40,5,2,128,6,57840,443,16,0,0
52,5,2,46,6,443,57840,16,0,0
41,5,2,128,6,57840,443,16,1,0
52,5,2,46,6,443,57840,16,0,0
41,5,2,128,6,57840,443,16,1,0
72,5,0,128,17,0,0,0,44,0
52,5,2,46,6,443,57840,16,0,0
143,5,2,128,6,49420,443,24,103,0
213,5,2,113,6,443,49420,24,173,0
40,5,2,128,6,49420,443,16,0,0
41,5,2,128,6,57840,443,16,1,0
40,5,2,46,6,443,57840,16,0,0
40,5,2,128,6,57840,443,16,0,0
52,5,2,46,6,443,57840,16,0,0
41,5,2,128,6,56816,5228,16,1,0
52,5,0,118,6,5228,56816,16,0,0
41,5,2,128,6,57840,443,16,1,0
52,5,2,46,6,443,57840,16,0,0
63,5,0,128,17,0,0,0,35,0
63,5,0,128,17,0,0,0,35,0
91,5,2,64,17,0,0,0,63,0
63,5,0,128,17,0,0,0,35,0
113,5,2,64,17,0,0,0,85,0
79,5,2,64,17,0,0,0,51,0
72,5,0,128,17,0,0,0,44,0
41,5,2,128,6,57840,443,16,1,0
52,5,2,46,6,443,57840,16,0,0
198,5,0,1,17,0,0,0,170,0
198,5,0,1,17,0,0,0,170,0
198,5,0,1,17,0,0,0,170,0
198,5,0,1,17,0,0,0,170,0
41,5,2,128,6,57840,443,16,1,0
40,5,2,46,6,443,57840,16,0,0
52,5,2,46,6,443,57840,16,0,0
40,5,2,128,6,57840,443,16,0,0
41,5,2,128,6,57840,443,16,1,0
52,5,2,46,6,443,57840,16,0,0
77,5,0,128,17,0,0,0,49,0
77,5,0,128,17,0,0,0,49,0
77,5,0,128,17,0,0,0,49,0
93,5,2,64,17,0,0,0,65,0
127,5,2,64,17,0,0,0,99,0
105,5,2,64,17,0,0,0,77,0
72,5,0,128,17,0,0,0,44,0
41,5,2,128,6,57840,443,16,1,0
40,5,2,46,6,443,57840,16,0,0
52,5,2,46,6,443,57840,16,0,0
40,5,2,128,6,57840,443,16,0,0
143,5,2,128,6,49420,443,24,103,0
213,5,2,113,6,443,49420,24,173,0
40,5,2,128,6,49420,443,16,0,0
41,5,2,128,6,57840,443,16,1,0
52,5,2,46,6,443,57840,16,0,0
70,5,0,128,17,0,0,0,42,0
70,5,0,128,17,0,0,0,42,0
70,5,0,128,17,0,0,0,42,0
127,5,2,64,17,0,0,0,99,0
204,5,2,64,17,0,0,0,176,0
86,5,2,64,17,0,0,0,58,0
70,5,0,128,17,0,0,0,42,1
70,5,0,128,17,0,0,0,42,1
70,5,0,128,17,0,0,0,42,1
86,5,2,64,17,0,0,0,58,1
204,5,2,64,17,0,0,0,176,1
149,5,2,64,17,0,0,0,121,1
419,5,2,113,6,443,49420,24,379,1
175,5,2,128,6,49420,443,24,135,1
40,5,2,113,6,443,49420,16,0,1
41,5,2,128,6,57840,443,16,1,1
40,5,2,46,6,443,57840,16,0,1
40,5,2,128,6,57840,443,16,0,1
52,5,2,46,6,443,57840,16,0,1
61,5,0,128,17,0,0,0,33,1
61,5,0,128,17,0,0,0,33,1
61,5,0,128,17,0,0,0,33,1
111,5,2,64,17,0,0,0,83,1
89,5,2,64,17,0,0,0,61,1
77,5,2,64,17,0,0,0,49,1
60,5,0,128,17,0,0,0,32,1
60,5,0,128,17,0,0,0,32,1
60,5,0,128,17,0,0,0,32,1
85,5,2,64,17,0,0,0,57,1
76,5,2,64,17,0,0,0,48,1
60,5,0,128,17,0,0,0,32,1
88,5,2,64,17,0,0,0,60,1
57,5,0,128,17,0,0,0,29,1
57,5,0,128,17,0,0,0,29,1
57,5,0,128,17,0,0,0,29,1
118,5,2,64,17,0,0,0,90,1
85,5,2,64,17,0,0,0,57,1
89,5,2,64,17,0,0,0,61,1
60,5,0,128,17,0,0,0,32,1
60,5,0,128,17,0,0,0,32,1
60,5,0,128,17,0,0,0,32,1
121,5,2,64,17,0,0,0,93,1
88,5,2,64,17,0,0,0,60,1
92,5,2,64,17,0,0,0,64,1
72,5,0,128,17,0,0,0,44,1
41,5,2,128,6,57840,443,16,1,1
52,5,2,46,6,443,57840,16,0,1
143,5,2,128,6,49420,443,24,103,1
213,5,2,113,6,443,49420,24,173,1
40,5,2,128,6,49420,443,16,0,1
61,5,0,128,17,0,0,0,33,1
61,5,0,128,17,0,0,0,33,1
61,5,0,128,17,0,0,0,33,1
118,5,2,64,17,0,0,0,90,1
89,5,2,64,17,0,0,0,61,1
77,5,2,64,17,0,0,0,49,1
65,5,0,128,17,0,0,0,37,1
65,5,0,128,17,0,0,0,37,1
65,5,0,128,17,0,0,0,37,1
139,5,2,64,17,0,0,0,111,1
117,5,2,64,17,0,0,0,89,1
105,5,2,64,17,0,0,0,77,1
